"WATERBODYC,N,9,0","LOCNAME_EN,C,254","LATITUDE,N,19,11","LONGITUDE,N,19,11","GUIDELOC_E,C,254","URL_EN,C,254","SPECIES_EN,C,254"
41508250,Lake Erie 1 - Western Basin,41.83333333,-82.83333333,from the Detroit River mouth to Point Pelee,http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE41508250.html,-WHITE_SUCKER-COMMON_CARP-CHANNEL_CATFISH-WHITE_PERCH-WHITE_BASS-SMALLMOUTH_BASS-YELLOW_PERCH-WALLEYE-FRESHWATER_DRUM-COHO_SALMON-RAINBOW_TROUT-LAKE_WHITEFISH-RAINBOW_SMELT-
42048308,Lake Erie 5b - Lower Detroit River,42.15222222,-83.12222222,from south of Fighting Island to Lake Erie,http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE42048308.html,-COMMON_CARP-CHANNEL_CATFISH-WHITE_PERCH-WHITE_BASS-ROCK_BASS-LARGEMOUTH_BASS-YELLOW_PERCH-WALLEYE-FRESHWATER_DRUM-
42068227,Lake Erie 2b - Wheatley Harbour,42.0675,-82.4675,Harbour and immediate vicinity,http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE42068227.html,-BIGMOUTH_BUFFALO-COMMON_CARP-BROWN_BULLHEAD-CHANNEL_CATFISH-WHITE_BASS-YELLOW_PERCH-FRESHWATER_DRUM-
42158307,Lake Erie 5a - Detroit River,42.25,-83.11666667,from Lake St Clair to Fighting Island,http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE42158307.html,-FRESHWATER_DRUM-NORTHERN_PIKE-COMMON_CARP-CHANNEL_CATFISH-WHITE_PERCH-WHITE_BASS-ROCK_BASS-LARGEMOUTH_BASS-YELLOW_PERCH-WALLEYE-
42178153,Lake Erie 2a - Rondeau Bay,42.29388889,-81.89277778,Rondeau Harbour and immediate surrounding area,http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE42178153.html,-NORTHERN_PIKE-COMMON_CARP-BROWN_BULLHEAD-CHANNEL_CATFISH-WHITE_PERCH-ROCK_BASS-PUMPKINSEED-BLUEGILL-SMALLMOUTH_BASS-LARGEMOUTH_BASS-WHITE_CRAPPIE-BLACK_CRAPPIE-YELLOW_PERCH-FRESHWATER_DRUM-
42208225,Thames River,42.41416667,-82.17555556,below Thamesville to mouth,http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE42208225.html,-WHITE_BASS-BLUEGILL-LARGEMOUTH_BASS-WHITE_CRAPPIE-BLACK_CRAPPIE-WALLEYE-FRESHWATER_DRUM-GIZZARD_SHAD-NORTHERN_PIKE-WHITE_SUCKER-REDHORSE_SUCKER-COMMON_CARP-BROWN_BULLHEAD-CHANNEL_CATFISH-WHITE_PERCH-
42288240,Lake Erie 6 - Lake St. Clair,42.46666667,-82.66666667,&nbsp;,http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE42288240.html,-NORTHERN_PIKE-CHANNEL_CATFISH-WHITE_PERCH-WHITE_BASS-ROCK_BASS-PUMPKINSEED-BLUEGILL-SMALLMOUTH_BASS-LARGEMOUTH_BASS-BLACK_CRAPPIE-YELLOW_PERCH-WALLEYE-FRESHWATER_DRUM-QUILLBACK_CARPSUCKER-WHITE_SUCKER-COMMON_CARP-BROWN_BULLHEAD-
42358211,Sydenham River,42.59388889,-82.18305556,"Dresden to Wallaceburg Camden & Chatham Twps., Kent Co.",http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE42358211.html,-NORTHERN_PIKE-REDHORSE_SUCKER-COMMON_CARP-WHITE_BASS-ROCK_BASS-LARGEMOUTH_BASS-BLACK_CRAPPIE-WALLEYE-FRESHWATER_DRUM-
42368026,Big Creek,42.60222222,-80.45222222,"spawning run, Haldimand-Norfolk R. M.",http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE42368026.html,-RAINBOW_TROUT-
42378107,Lake Erie 2 - Central Basin,42.30583333,-81.51305556,from east of Point Pelee to just west of Long Point Bay,http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE42378107.html,-RAINBOW_SMELT-WHITE_SUCKER-COMMON_CARP-CHANNEL_CATFISH-COHO_SALMON-RAINBOW_TROUT-LAKE_WHITEFISH-WHITE_PERCH-WHITE_BASS-YELLOW_PERCH-WALLEYE-FRESHWATER_DRUM-
42388113,Kettle Creek,42.65972222,-81.21277778,"Yarmouth Twp, Elgin Co",http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE42388113.html,-COMMON_CARP-
42388142,Thames River,42.67333333,-81.69555556,Delaware to Thamesville,http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE42388142.html,-REDHORSE_SUCKER-COMMON_CARP-CHANNEL_CATFISH-WHITE_BASS-WALLEYE-
42408010,Lake Erie 3 - Long Point Bay,42.66666667,-80.16666667,inner and outer bay area,http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE42408010.html,#NAME?
42408230,Lake Erie 7c - Lower St Clair River,42.71527778,-82.4825,from Lambton Generating Station to Lake St Clair,http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE42408230.html,-WHITE_SUCKER-REDHORSE_SUCKER-COMMON_CARP-BROWN_BULLHEAD-ROCK_BASS-GIZZARD_SHAD-NORTHERN_PIKE-WALLEYE-FRESHWATER_DRUM-BLUEGILL-LARGEMOUTH_BASS-BLACK_CRAPPIE-YELLOW_PERCH-
42457915,Lake Erie 4 - Eastern Basin,42.72472222,-79.6425,from east of Long Point Bay to the Niagara River,http://www.downloads.ene.gov.on.ca/files/fishguide/en/advisories/LAKE42457915.html,-COHO_SALMON-RAINBOW_TROUT-LAKE_TROUT-LAKE_WHITEFISH-RAINBOW_SMELT-WHITE_SUCKER-COMMON_CARP-BROWN_BULLHEAD-CHANNEL_CATFISH-LING_(BURBOT)-WHITE_PERCH-WHITE_BASS-ROCK_BASS-SMALLMOUTH_BASS-YELLOW_PERCH-WALLEYE-FRESHWATER_DRUM-
