NAME,LATITUDE,LONGITUDE,LOCATION_GUIDE,URL,SPECIES,,NAME;LATITUDE;LONGITUDE;LOCATION_GUIDE;URL;SPECIES
Lake Erie 1 - Western Basin,41.83333333,-82.83333333,from the Detroit River mouth to Point Pelee,http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=41508250,-WHITE_SUCKER-COMMON_CARP-CHANNEL_CATFISH-WHITE_PERCH-WHITE_BASS-SMALLMOUTH_BASS-YELLOW_PERCH-WALLEYE-FRESHWATER_DRUM-COHO_SALMON-RAINBOW_TROUT-LAKE_WHITEFISH-RAINBOW_SMELT-,,Lake Erie 1 - Western Basin;41.83333333;-82.83333333;from the Detroit River mouth to Point Pelee;http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=41508250;-WHITE_SUCKER-COMMON_CARP-CHANNEL_CATFISH-WHITE_PERCH-WHITE_BASS-SMALLMOUTH_BASS-YELLOW_PERCH-WALLEYE-FRESHWATER_DRUM-COHO_SALMON-RAINBOW_TROUT-LAKE_WHITEFISH-RAINBOW_SMELT-
Lake Erie 5b - Lower Detroit River,42.15222222,-83.12222222,from south of Fighting Island to Lake Erie,http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42048308,-COMMON_CARP-CHANNEL_CATFISH-WHITE_PERCH-WHITE_BASS-ROCK_BASS-LARGEMOUTH_BASS-YELLOW_PERCH-WALLEYE-FRESHWATER_DRUM-,,Lake Erie 5b - Lower Detroit River;42.15222222;-83.12222222;from south of Fighting Island to Lake Erie;http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42048308;-COMMON_CARP-CHANNEL_CATFISH-WHITE_PERCH-WHITE_BASS-ROCK_BASS-LARGEMOUTH_BASS-YELLOW_PERCH-WALLEYE-FRESHWATER_DRUM-
Lake Erie 2b - Wheatley Harbour,42.0675,-82.4675,Harbour and immediate vicinity,http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42068227,-BIGMOUTH_BUFFALO-COMMON_CARP-BROWN_BULLHEAD-CHANNEL_CATFISH-WHITE_BASS-YELLOW_PERCH-FRESHWATER_DRUM-,,Lake Erie 2b - Wheatley Harbour;42.0675;-82.4675;Harbour and immediate vicinity;http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42068227;-BIGMOUTH_BUFFALO-COMMON_CARP-BROWN_BULLHEAD-CHANNEL_CATFISH-WHITE_BASS-YELLOW_PERCH-FRESHWATER_DRUM-
Lake Erie 5a - Detroit River,42.25,-83.11666667,from Lake St Clair to Fighting Island,http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42158307,-FRESHWATER_DRUM-NORTHERN_PIKE-COMMON_CARP-CHANNEL_CATFISH-WHITE_PERCH-WHITE_BASS-ROCK_BASS-LARGEMOUTH_BASS-YELLOW_PERCH-WALLEYE-,,Lake Erie 5a - Detroit River;42.25;-83.11666667;from Lake St Clair to Fighting Island;http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42158307;-FRESHWATER_DRUM-NORTHERN_PIKE-COMMON_CARP-CHANNEL_CATFISH-WHITE_PERCH-WHITE_BASS-ROCK_BASS-LARGEMOUTH_BASS-YELLOW_PERCH-WALLEYE-
Lake Erie 2a - Rondeau Bay,42.29388889,-81.89277778,Rondeau Harbour and immediate surrounding area,http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42178153,-NORTHERN_PIKE-COMMON_CARP-BROWN_BULLHEAD-CHANNEL_CATFISH-WHITE_PERCH-ROCK_BASS-PUMPKINSEED-BLUEGILL-SMALLMOUTH_BASS-LARGEMOUTH_BASS-WHITE_CRAPPIE-BLACK_CRAPPIE-YELLOW_PERCH-FRESHWATER_DRUM-,,Lake Erie 2a - Rondeau Bay;42.29388889;-81.89277778;Rondeau Harbour and immediate surrounding area;http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42178153;-NORTHERN_PIKE-COMMON_CARP-BROWN_BULLHEAD-CHANNEL_CATFISH-WHITE_PERCH-ROCK_BASS-PUMPKINSEED-BLUEGILL-SMALLMOUTH_BASS-LARGEMOUTH_BASS-WHITE_CRAPPIE-BLACK_CRAPPIE-YELLOW_PERCH-FRESHWATER_DRUM-
Thames River,42.41416667,-82.17555556,below Thamesville to mouth,http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42208225,-WHITE_BASS-BLUEGILL-LARGEMOUTH_BASS-WHITE_CRAPPIE-BLACK_CRAPPIE-WALLEYE-FRESHWATER_DRUM-GIZZARD_SHAD-NORTHERN_PIKE-WHITE_SUCKER-REDHORSE_SUCKER-COMMON_CARP-BROWN_BULLHEAD-CHANNEL_CATFISH-WHITE_PERCH-,,Thames River;42.41416667;-82.17555556;below Thamesville to mouth;http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42208225;-WHITE_BASS-BLUEGILL-LARGEMOUTH_BASS-WHITE_CRAPPIE-BLACK_CRAPPIE-WALLEYE-FRESHWATER_DRUM-GIZZARD_SHAD-NORTHERN_PIKE-WHITE_SUCKER-REDHORSE_SUCKER-COMMON_CARP-BROWN_BULLHEAD-CHANNEL_CATFISH-WHITE_PERCH-
Lake Erie 6 - Lake St. Clair,42.46666667,-82.66666667,N/A,http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42288240,-NORTHERN_PIKE-CHANNEL_CATFISH-WHITE_PERCH-WHITE_BASS-ROCK_BASS-PUMPKINSEED-BLUEGILL-SMALLMOUTH_BASS-LARGEMOUTH_BASS-BLACK_CRAPPIE-YELLOW_PERCH-WALLEYE-FRESHWATER_DRUM-QUILLBACK_CARPSUCKER-WHITE_SUCKER-COMMON_CARP-BROWN_BULLHEAD-,,Lake Erie 6 - Lake St. Clair;42.46666667;-82.66666667;N/A;http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42288240;-NORTHERN_PIKE-CHANNEL_CATFISH-WHITE_PERCH-WHITE_BASS-ROCK_BASS-PUMPKINSEED-BLUEGILL-SMALLMOUTH_BASS-LARGEMOUTH_BASS-BLACK_CRAPPIE-YELLOW_PERCH-WALLEYE-FRESHWATER_DRUM-QUILLBACK_CARPSUCKER-WHITE_SUCKER-COMMON_CARP-BROWN_BULLHEAD-
Sydenham River,42.59388889,-82.18305556,"Dresden to Wallaceburg Camden & Chatham Twps., Kent Co.",http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42358211,-NORTHERN_PIKE-REDHORSE_SUCKER-COMMON_CARP-WHITE_BASS-ROCK_BASS-LARGEMOUTH_BASS-BLACK_CRAPPIE-WALLEYE-FRESHWATER_DRUM-,,"Sydenham River;42.59388889;-82.18305556;Dresden to Wallaceburg Camden & Chatham Twps., Kent Co.;http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42358211;-NORTHERN_PIKE-REDHORSE_SUCKER-COMMON_CARP-WHITE_BASS-ROCK_BASS-LARGEMOUTH_BASS-BLACK_CRAPPIE-WALLEYE-FRESHWATER_DRUM-"
Big Creek,42.60222222,-80.45222222,"spawning run, Haldimand-Norfolk R. M.",http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42368026,-RAINBOW_TROUT-,,"Big Creek;42.60222222;-80.45222222;spawning run, Haldimand-Norfolk R. M.;http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42368026;-RAINBOW_TROUT-"
Lake Erie 2 - Central Basin,42.30583333,-81.51305556,from east of Point Pelee to just west of Long Point Bay,http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42378107,-RAINBOW_SMELT-WHITE_SUCKER-COMMON_CARP-CHANNEL_CATFISH-COHO_SALMON-RAINBOW_TROUT-LAKE_WHITEFISH-WHITE_PERCH-WHITE_BASS-YELLOW_PERCH-WALLEYE-FRESHWATER_DRUM-,,Lake Erie 2 - Central Basin;42.30583333;-81.51305556;from east of Point Pelee to just west of Long Point Bay;http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42378107;-RAINBOW_SMELT-WHITE_SUCKER-COMMON_CARP-CHANNEL_CATFISH-COHO_SALMON-RAINBOW_TROUT-LAKE_WHITEFISH-WHITE_PERCH-WHITE_BASS-YELLOW_PERCH-WALLEYE-FRESHWATER_DRUM-
Kettle Creek,42.65972222,-81.21277778,"Yarmouth Twp, Elgin Co",http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42388113,-COMMON_CARP-,,"Kettle Creek;42.65972222;-81.21277778;Yarmouth Twp, Elgin Co;http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42388113;-COMMON_CARP-"
Thames River,42.67333333,-81.69555556,Delaware to Thamesville,http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42388142,-REDHORSE_SUCKER-COMMON_CARP-CHANNEL_CATFISH-WHITE_BASS-WALLEYE-,,Thames River;42.67333333;-81.69555556;Delaware to Thamesville;http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42388142;-REDHORSE_SUCKER-COMMON_CARP-CHANNEL_CATFISH-WHITE_BASS-WALLEYE-
Lake Erie 3 - Long Point Bay,42.66666667,-80.16666667,inner and outer bay area,http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42408010,,,Lake Erie 3 - Long Point Bay;42.66666667;-80.16666667;inner and outer bay area;http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42408010;
Lake Erie 7c - Lower St Clair River,42.71527778,-82.4825,from Lambton Generating Station to Lake St Clair,http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42408230,-WHITE_SUCKER-REDHORSE_SUCKER-COMMON_CARP-BROWN_BULLHEAD-ROCK_BASS-GIZZARD_SHAD-NORTHERN_PIKE-WALLEYE-FRESHWATER_DRUM-BLUEGILL-LARGEMOUTH_BASS-BLACK_CRAPPIE-YELLOW_PERCH-,,Lake Erie 7c - Lower St Clair River;42.71527778;-82.4825;from Lambton Generating Station to Lake St Clair;http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42408230;-WHITE_SUCKER-REDHORSE_SUCKER-COMMON_CARP-BROWN_BULLHEAD-ROCK_BASS-GIZZARD_SHAD-NORTHERN_PIKE-WALLEYE-FRESHWATER_DRUM-BLUEGILL-LARGEMOUTH_BASS-BLACK_CRAPPIE-YELLOW_PERCH-
Lake Erie 4 - Eastern Basin,42.72472222,-79.6425,from east of Long Point Bay to the Niagara River,http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42457915,-COHO_SALMON-RAINBOW_TROUT-LAKE_TROUT-LAKE_WHITEFISH-RAINBOW_SMELT-WHITE_SUCKER-COMMON_CARP-BROWN_BULLHEAD-CHANNEL_CATFISH-LING_(BURBOT)-WHITE_PERCH-WHITE_BASS-ROCK_BASS-SMALLMOUTH_BASS-YELLOW_PERCH-WALLEYE-FRESHWATER_DRUM-,,Lake Erie 4 - Eastern Basin;42.72472222;-79.6425;from east of Long Point Bay to the Niagara River;http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42457915;-COHO_SALMON-RAINBOW_TROUT-LAKE_TROUT-LAKE_WHITEFISH-RAINBOW_SMELT-WHITE_SUCKER-COMMON_CARP-BROWN_BULLHEAD-CHANNEL_CATFISH-LING_(BURBOT)-WHITE_PERCH-WHITE_BASS-ROCK_BASS-SMALLMOUTH_BASS-YELLOW_PERCH-WALLEYE-FRESHWATER_DRUM-
Deer Creek Reservoir,42.70638889,-80.56305556,Haldimand-Norfolk R.M.,http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42458035,-BLUEGILL-LARGEMOUTH_BASS-BLACK_CRAPPIE-YELLOW_PERCH-BROWN_TROUT-WHITE_SUCKER-COMMON_CARP-BROWN_BULLHEAD-ROCK_BASS-PUMPKINSEED-,,Deer Creek Reservoir;42.70638889;-80.56305556;Haldimand-Norfolk R.M.;http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42458035;-BLUEGILL-LARGEMOUTH_BASS-BLACK_CRAPPIE-YELLOW_PERCH-BROWN_TROUT-WHITE_SUCKER-COMMON_CARP-BROWN_BULLHEAD-ROCK_BASS-PUMPKINSEED-
Aylmer Police College Ponds,42.80222222,-80.94305556,"Malahide Twp., Elgin Co.",http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42468059,-COMMON_CARP-,,"Aylmer Police College Ponds;42.80222222;-80.94305556;Malahide Twp., Elgin Co.;http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42468059;-COMMON_CARP-"
Big Creek,42.82,-80.50777778,"south of Delhi, Haldimand-Norfolk R. M.",http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42478030,-BROOK_TROUT-WHITE_SUCKER-COMMON_CARP-BROWN_BULLHEAD-ROCK_BASS-,,"Big Creek;42.82;-80.50777778;south of Delhi, Haldimand-Norfolk R. M.;http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42478030;-BROOK_TROUT-WHITE_SUCKER-COMMON_CARP-BROWN_BULLHEAD-ROCK_BASS-"
Lynn River,42.84138889,-80.30611111,"Crystal Lake, Haldimand-Norfolk R. M.",http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42508018,-COMMON_CARP-,,"Lynn River;42.84138889;-80.30611111;Crystal Lake, Haldimand-Norfolk R. M.;http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42508018;-COMMON_CARP-"
Lynn River,42.82333333,-80.28722222,Haldimand-Norfolk R.M.,http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42508020,-BROWN_TROUT-WHITE_SUCKER-ROCK_BASS-,,Lynn River;42.82333333;-80.28722222;Haldimand-Norfolk R.M.;http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42508020;-BROWN_TROUT-WHITE_SUCKER-ROCK_BASS-
Delhi Reservoir,42.8525,-80.51527778,"Middleton Twp., Haldimand-Norfolk R.M.",http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42518030,-PUMPKINSEED-BLUEGILL-,,"Delhi Reservoir;42.8525;-80.51527778;Middleton Twp., Haldimand-Norfolk R.M.;http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42518030;-PUMPKINSEED-BLUEGILL-"
Lake Lisgar,42.86888889,-80.73166667,"Tillsonburg, Dereham Twp., Oxford Co.",http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42528044,-WHITE_SUCKER-COMMON_CARP-LARGEMOUTH_BASS-BLACK_CRAPPIE-,,"Lake Lisgar;42.86888889;-80.73166667;Tillsonburg, Dereham Twp., Oxford Co.;http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42528044;-WHITE_SUCKER-COMMON_CARP-LARGEMOUTH_BASS-BLACK_CRAPPIE-"
Grand River,42.88444444,-79.58222222,below Dunnville Dam to Port Maitland,http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42537935,-WALLEYE-FRESHWATER_DRUM-GIZZARD_SHAD-RAINBOW_TROUT-NORTHERN_PIKE-REDHORSE_SUCKER-COMMON_CARP-BROWN_BULLHEAD-CHANNEL_CATFISH-WHITE_BASS-SMALLMOUTH_BASS-LARGEMOUTH_BASS-BLACK_CRAPPIE-,,Grand River;42.88444444;-79.58222222;below Dunnville Dam to Port Maitland;http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42537935;-WALLEYE-FRESHWATER_DRUM-GIZZARD_SHAD-RAINBOW_TROUT-NORTHERN_PIKE-REDHORSE_SUCKER-COMMON_CARP-BROWN_BULLHEAD-CHANNEL_CATFISH-WHITE_BASS-SMALLMOUTH_BASS-LARGEMOUTH_BASS-BLACK_CRAPPIE-
Lake Erie 7b - Middle St. Clair River,42.82638889,-82.47527778,from Ethyl Corp./Stag Island to just north of Lambton Generating Station,http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42538226,-GIZZARD_SHAD-NORTHERN_PIKE-WHITE_SUCKER-REDHORSE_SUCKER-COMMON_CARP-ROCK_BASS-SMALLMOUTH_BASS-YELLOW_PERCH-WALLEYE-FRESHWATER_DRUM-,,Lake Erie 7b - Middle St. Clair River;42.82638889;-82.47527778;from Ethyl Corp./Stag Island to just north of Lambton Generating Station;http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42538226;-GIZZARD_SHAD-NORTHERN_PIKE-WHITE_SUCKER-REDHORSE_SUCKER-COMMON_CARP-ROCK_BASS-SMALLMOUTH_BASS-YELLOW_PERCH-WALLEYE-FRESHWATER_DRUM-
Lake Whittaker,42.91361111,-80.95916667,"North Dorchester Twp., Middlesex Co.",http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42548057,-RAINBOW_TROUT-WHITE_SUCKER-COMMON_CARP-BLUEGILL-LARGEMOUTH_BASS-,,"Lake Whittaker;42.91361111;-80.95916667;North Dorchester Twp., Middlesex Co.;http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42548057;-RAINBOW_TROUT-WHITE_SUCKER-COMMON_CARP-BLUEGILL-LARGEMOUTH_BASS-"
Wainfleet Marsh,42.91305556,-79.31944444,"Wainfleet Twp., Niagara R.M.",http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42557918,-COMMON_CARP-,,"Wainfleet Marsh;42.91305556;-79.31944444;Wainfleet Twp., Niagara R.M.;http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42557918;-COMMON_CARP-"
Black Creek,42.96194444,-79.02222222,"Willoughby Twp., Niagara R.M.",http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42567904,-COMMON_CARP-,,"Black Creek;42.96194444;-79.02222222;Willoughby Twp., Niagara R.M.;http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42567904;-COMMON_CARP-"
Waterford Lakes,42.93111111,-80.31527778,"Townsend Twp., Haldimand-Norfolk R.M.",http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42568019,-COMMON_CARP-LARGEMOUTH_BASS-BLACK_CRAPPIE-,,"Waterford Lakes;42.93111111;-80.31527778;Townsend Twp., Haldimand-Norfolk R.M.;http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42568019;-COMMON_CARP-LARGEMOUTH_BASS-BLACK_CRAPPIE-"
Westminster Ponds,42.94916667,-81.21777778,"South Pond, City of London",http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42568111,-COMMON_CARP-LARGEMOUTH_BASS-BLACK_CRAPPIE-,,"Westminster Ponds;42.94916667;-81.21777778;South Pond, City of London;http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42568111;-COMMON_CARP-LARGEMOUTH_BASS-BLACK_CRAPPIE-"
Thames River,42.94722222,-81.40416667,below Springbank Dam to Delaware,http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42568118,-COMMON_CARP-ROCK_BASS-SMALLMOUTH_BASS-WALLEYE-,,Thames River;42.94722222;-81.40416667;below Springbank Dam to Delaware;http://www.ontario.ca/environment-and-energy/sport-fish-consumption-advisory?id=42568118;-COMMON_CARP-ROCK_BASS-SMALLMOUTH_BASS-WALLEYE-
